"","X","beach.name","job","age.respondent","years.fisheries","no.days.per.month.lake","choice.fishing.area","catch.size.change","catch.change.trend","catch.change.amount","catch.change.type","catch.cause.size.change","comment.unedited","water.clarity.change","water.smell.change","fish.spp.change","fish.abundance.change","change.aquatic.plants","total.plant.abundance.change","earliest.algal.bloom","bloom.effect.waterqual","bloom.effect.business","bloom.effect.fish","cause.bloom","future.for.fishery"
"121",30,"Chwoe","Crew",20,8,20,"proximity","Y","reduced","reduced","reduced","breeding ground impacted","","reduced","increased","reduced","reduced","increased","increased",2008,"contaminates water","decrease in catch or production","suffocates fish","change in water quality","Y"
"122",31,"Chwoe","Boat owner",65,46,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","not sure","uncertain","N"
"123",32,"Chwoe","Boat owner",32,11,26,"avoid fish breeding areas","Y","reduced","reduced","increased","illegal or unregulated fishing gear","","increased","increased","reduced","reduced","increased","increased",2006,"contaminates water","decrease in fish business or profit","results in fish mortalities","change in water quality","N"
"124",33,"Chwoe","Boat owner",35,10,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2014,"contaminates water","decrease in fish business or profit","suffocates fish","change in water quality","N"
"125",34,"Chwoe","Crew",19,6,14,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2014,"contaminates water","unsure","suffocates fish","water hyacinth","N"
"126",35,"Chwoe","Crew",20,7,26,"fishing quality and fish availability","N","","","","","","reduced","increased","reduced","reduced","increased","increased",2013,"poor water quality ","decrease in fish business or profit","suffocates fish","stagnant water","N"
"127",36,"Chwoe","Crew",28,10,12,"deep water for big fish","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2008,"poor water quality ","decrease in fish business or profit","suffocates fish","change in water quality","Y"
"128",37,"Chwoe","Crew",22,10,22,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2009,"poor water quality ","decrease in fish business or profit","suffocates fish","change in water quality","Y"
"129",38,"Chwoe","Crew",21,5,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2001,"poor water quality ","decrease in fish business or profit","interferes with movement","stagnant water","Y"
"130",39,"Chwoe","Boat owner",21,10,14,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2008,"poor water quality ","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"131",40,"Chwoe","Boat owner",35,12,22,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1997,"color change","decrease in fish business or profit","reduces quantity","change in water quality","N"
"132",41,"Chwoe","Boat owner",37,4,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1967,"poor water quality ","decrease in fish business or profit","suffocates fish","change in water quality","N"
"133",42,"Chwoe","Crew",18,3,8,"proximity","Y","reduced","reduced","reduced","seasonal","","reduced","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","suffocates fish","drought","Y"
"134",43,"Chwoe","Crew",25,4,21,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2016,"poor water quality ","increase in price","suffocates fish","water hyacinth","N"
"135",44,"Chwoe","Crew",27,10,12,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","decrease in fish business or profit","interferes with movement","change in water quality","N"
"136",45,"Chwoe","Boat owner",33,5,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2013,"color change","increase in price","suffocates fish","rain","N"
"137",46,"Chwoe","Boat owner",32,10,26,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2013,"poor water quality ","increase in price","acts as food for fish","current","N"
"138",47,"Chwoe","Crew",25,6,12,"absence of water hyacinth","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2016,"poor water quality ","increase in price","reduces quantity","change in water quality","Y"
"139",48,"Chwoe","Boat owner",39,8,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"contaminates water","increase in price","negatively impacts fish health","drought","N"
"140",49,"Chwoe","Crew",28,6,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2010,"poor water quality ","decrease in fish business or profit","suffocates fish","drought","N"
"141",50,"Chwoe","Boat owner",27,5,26,"proximity","Y","reduced","reduced","reduced","seasonal","","reduced","increased","reduced","reduced","increased","increased",2011,"contaminates water","increase in price","suffocates fish","current","N"
"142",1,"Nyamaruaka","crew",19,7,31,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","at times","reduced","increased","variable","",2002,"poor water quality ","decrease in fish business or profit","reduces quantity","water hyacinth","N"
"143",2,"Nyamaruaka","Boat owner",29,10,31,"proximity","Y","seasonal","seasonal","reduced","water quality; illegal or unregulated fishing gear","","increased","at times","reduced","increased","increased","",1998,"contaminates water; linked to health","decrease in fish business or profit","reduces quantity","waste or pollution","Y"
"144",3,"Nyamaruaka","crew",28,5,31,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","at times","reduced","increased","increased","",2005,"odor change","decrease in fish business or profit","reduces quantity","industrial waste","N"
"145",4,"Nyamaruaka","Boat owner",52,30,31,"proximity","Y","reduced","reduced","reduced","water quality ","","reduced","at times","reduced","increased","variable","",2015,"contaminates water; odor change","decrease in fish business or profit","reduces quantity","water hyacinth","Y"
"146",5,"Nyamaruaka","crew",25,16,21,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","at times","reduced","increased","increased","",2007,"color change","decrease in fish business or profit","reduces quantity","industrial waste","Y"
"147",6,"Nyamaruaka","crew",64,40,31,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1992,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution","Y"
"148",7,"Nyamaruaka","crew",20,4,3,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","at times","reduced","increased","increased","",2012,"poor water quality ","decrease in fish business or profit","reduces quantity","natural causes","N"
"149",8,"Nyamaruaka","crew",56,30,31,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","reduced","increased","increased","",2012,"odor change","unimpacted","no effect","natural causes","N"
"150",9,"Nyamaruaka","Boat owner",45,20,31,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2003,"poor water quality ","decrease in fish business or profit","reduces quantity","industrial waste","N"
"151",10,"Nyamaruaka","crew",49,20,10,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2000,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"152",11,"Nyamaruaka","crew",25,3,14,"proximity","N","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2014,"contaminates water; linked to health","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"153",12,"Nyamaruaka","Boat owner",22,5,30,"proximity","Y","reduced","reduced","increased","illegal or unregulated fishing gear; water hyacinth; climate change","","reduced","increased","reduced","increased","increased","",2005,"contaminates water; linked to health","affected, unspecified","migration of fish","waste or pollution","Y"
"154",13,"Nyamaruaka","Boat owner and crew",40,19,30,"proximity","N","seasonal","seasonal","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2002,"contaminates water; linked to health","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"155",14,"Nyamaruaka","crew",18,2,30,"proximity","Y","reduced","reduced","increased","illegal or unregulated fishing gear","","reduced","increased","increased","increased","increased","",2014,"poor water quality ","decrease in fish business or profit","no effect","fertilizers","N"
"156",15,"Nyamaruaka","Boat owner and crew",34,15,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","reduced","",2006,"contaminates water; odor change","decrease in catch or production","suffocates fish","sewer discharge; runoff","N"
"157",16,"Nyamaruaka","crew",48,29,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1992,"contaminates water; linked to health","increase in price","no effect","water hyacinth","N"
"158",17,"Nyamaruaka","crew",23,10,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; blooms","","reduced","increased","reduced","increased","increased","",2004,"contaminates water; linked to health","increase in business","Interferes with fishing (bait)","industrial waste; runoff","N"
"159",18,"Nyamaruaka","crew",30,10,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","at times","reduced","increased","increased","",2006,"odor change","decrease in fish business or profit","suffocates fish","sewer discharge; runoff","slim opportunity"
"160",19,"Nyamaruaka","crew",43,4,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1978,"contaminates water; color change","decrease in fish business or profit","avoidance of bloom by fish","water hyacinth","N"
"161",20,"Nyamaruaka","crew",58,18,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2006,"contaminates water; linked to health","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"162",21,"Nyamaruaka","crew",27,15,30,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2011,"color change","decrease in fish business or profit","negatively impacts fish health","water hyacinth","N"
"163",22,"Nyamaruaka","Fish vender",32,6,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2009,"poor water quality ","affected, unspecified","results in fish mortalities","natural causes","Y"
"164",23,"Nyamaruaka","Boat renter and crew",58,26,30,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2006,"contaminates water","unimpacted","no effect","natural causes","N"
"165",24,"Nyamaruaka","Boat owner",44,23,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","no change","",2010,"contaminates water","decrease in catch or production","no effect","water hyacinth","N"
"166",25,"Nyamaruaka","not specified",22,3,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2010,"poor water quality ","unimpacted","no effect","natural causes","Y"
"167",26,"Nyamaruaka","Boat owner",38,2,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","wrong fishing gears; climate change; water hyacinth","","no change","increased","reduced","increased","increased","",1996,"odor and color change","unimpacted","no effect","fertilizers","N"
"168",27,"Nyamaruaka","Boat renter and crew",27,10,16,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2011,"poor water quality ","decrease in fish business or profit","disappearance of fish","waste or pollution","N"
"169",28,"Nyamaruaka","crew",42,18,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","at times","reduced","increased","increased","",2000,"contaminates water","unimpacted","decreases survival","waste or pollution","N"
"170",29,"Nyamaruaka","Boat owner",52,40,18,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","no change","",2010,"contaminates water; linked to health","unimpacted","no effect","waste or pollution","N"
"171",30,"Nyamaruaka","Boat owner and crew",30,11,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2006,"contaminates water","decrease in fish business or profit","decreases survival","waste or pollution; fertilizers","N"
"172",31,"Nyamaruaka","crew",20,3,28,"proximity","Y","reduced","reduced","reduced","water quality; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","not specified","",2014,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution; fertilizers; water hyacinth","N"
"173",32,"Nyamaruaka","Boat owner",45,20,30,"proximity","Y","reduced","reduced","reduced","water quality; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","not specified","",1999,"poor water quality ","decrease in fish business or profit","reduces quantity","natural causes; water hyacinth; fertilizers","N"
"174",33,"Nyamaruaka","crew",35,8,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","decreased","",2007,"poor water quality ","increase in fish business (price) due to high demand (shortage)","results in fish mortalities","waste or pollution","N"
"175",34,"Nyamaruaka","Fungi",45,20,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2005,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution; fertilizers","N"
"176",35,"Nyamaruaka","crew",33,13,30,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","not specified","",1995,"poor water quality ","decrease in fish business or profit","decreases survival","rain; fertilizer","N"
"177",36,"Nyamaruaka","Boat owner",31,15,30,"proximity","Y","reduced","reduced","reduced","water quality; illegal or unregulated fishing gear","","reduced","increased","no change","increased","no change","",2005,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution",""
"178",37,"Nyamaruaka","crew",36,20,14,"proximity","Y","reduced","reduced","no change","water quality; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1997,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution; fertilizers","N"
"179",38,"Nyamaruaka","Boat owner",30,6,15,"proximity","Y","reduced","reduced","no change","water quality; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2008,"odor change","decrease in fish business or profit","results in fish mortalities","waste or pollution; water hyacinth","N"
"180",39,"Nyamaruaka","crew",36,15,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2007,"odor change","decrease in fish business or profit","postively impacts fish health","waste or pollution","N"
"181",40,"Nyamaruaka","Boat owner",25,7,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2013,"contaminates water; odor change","decrease in fish business or profit","disappearance of fish","waste or pollution","N"
"182",41,"Nyamaruaka","crew",35,3,14,"deep water for big fish","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","increased","",2011,"odor change","decrease in fish business or profit","decreases survival","natural causes","N"
"183",42,"Nyamaruaka","crew",23,4,26,"water quality","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","not specified","",2005,"poor water quality ","unimpacted","results in fish mortalities","uncertain","N"
"184",43,"Nyamaruaka","Boat owner and crew",40,10,28,"away from shore (regulations)","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","not specified","",1990,"odor change","decrease in fish business or profit","suffocates fish","industrial waste","N"
"185",44,"Nyamaruaka","Crew",20,5,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","fish migration","","reduced","increased","reduced","increased","not specified","",2006,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","Y"
"186",45,"Nyamaruaka","Boat renter and crew",23,12,14,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","not specified","",2015,"odor change","decrease in fish business or profit","suffocates fish","water hyacinth","Y"
"187",46,"Nyamaruaka","Crew",21,4,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","not specified","",2007,"poor water quality ","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"188",47,"Nyamaruaka","Boat renter and crew",24,3,15,"type of fish catch","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2006,"contaminates water; odor change","decrease in fish business or profit","suffocates fish","uncertain","N"
"189",48,"Nyamaruaka","Boat renter and crew",37,24,24,"type of fishing gear","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","increased","",2000,"poor water quality ","unimpacted","acts as food for fish","uncertain","Y"
"190",49,"Nyamaruaka","Boat owner",32,4,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","increased","",NA,"poor water quality ","decrease in fish business or profit","acts as food for fish","uncertain","Y"
"191",50,"Nyamaruaka","Boat owner and crew",42,26,17,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2005,"contaminates water; linked to health","decrease in fish business or profit","results in fish mortalities","uncertain","N"
"192",1,"Ogal","crew",60,30,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","climate change","","reduced","increased","reduced","increased","increased","",2006,"poor water quality ","unsure","results in fish mortalities","water hyacinth","Y"
"193",2,"Ogal","crew",47,35,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","increased","",2002,"poor water quality ","unsure","results in fish mortalities","waste or pollution","N"
"194",3,"Ogal","crew",39,12,23,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2004,"poor water quality ","unsure","interferes with movement","water hyacinth","Y"
"195",4,"Ogal","crew",39,17,28,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2006,"poor water quality ","unsure","acts as food for fish","waste or pollution","N"
"196",5,"Ogal","crew",32,10,18,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2000,"poor water quality ","decrease in fish business or profit","avoidance of bloom by fish","rain; waste or pollution","N"
"197",6,"Ogal","crew",29,6,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","increased","",2013,"poor water quality ","decrease in fish business or profit","suffocates fish","waste or pollution","N"
"198",7,"Ogal","crew",26,7,25,"fishing quality and fish availability","Y","reduced","reduced","increased","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","variable","",2012,"poor water quality ","decrease in fish business or profit","results in fish mortalities","uncertain","Y"
"199",8,"Ogal","crew",18,1.5,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","climate change","","depends on season","increased","reduced","increased","increased","",2015,"poor water quality ","decrease in fish business or profit","suffocates fish","waste or pollution","Y"
"200",9,"Ogal","Boat owner",32,12,25,"proximity","Y","reduced","reduced","reduced","climate change","","reduced","increased","reduced","increased","increased","",NA,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","Y"
"201",10,"Ogal","crew",38,17,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","increased","",1996,"poor water quality ","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"202",11,"Ogal","Fishing gear",34,25,4,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","at times","reduced","increased","variable","",2006,"contaminates water; linked to health","decrease in fish business or profit","avoidance of bloom by fish","fertilizers","N"
"203",12,"Ogal","Boat owner",40,15,27,"water quality; proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1999,"poor water quality ","unimpacted","acts as food for fish","waste or pollution","N"
"204",13,"Ogal","crew",28,5,31,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","at times","reduced","increased","variable","",2000,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution; fertilizers","Y"
"205",14,"Ogal","crew",30,17,14,"proximity","Y","reduced","no change","no change","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1990,"contaminates water; linked to health","decrease in fish business or profit","avoidance of bloom by fish","industrial waste","N"
"206",15,"Ogal","Boat owner",75,51,31,"proximity","Y","increased","increased","increased","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","variable","",1997,"contaminates water; linked to health","increase in business","no effect","waste or pollution","Y"
"207",16,"Ogal","Boat owner",30,7,30,"proximity","Y","reduced","reduced","no change","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","at times","increased","increased","variable","",2011,"clears the water","unimpacted","acts as food for fish","uncertain","Y"
"208",17,"Ogal","crew",24,1,31,"proximity","Y","reduced","increased","reduced","pollution","","reduced","increased","reduced","increased","variable","",2001,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"209",18,"Ogal","crew",30,15,14,"fishing quality and fish availability","Y","reduced","reduced","increased","pollution","","reduced","increased","reduced","increased","variable","",2008,"poor water quality ","decrease in fish business or profit","reduces quantity","water hyacinth","Y"
"210",19,"Ogal","Boat owner",68,38,27,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","variable","",1998,"contaminates water; linked to health","price fluctuation","not sure","uncertain","uncertain"
"211",20,"Ogal","crew",52,33,28,"proximity","Y","seasonal","seasonal","seasonal","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","at times","increased","increased","reduced","",1985,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"212",21,"Ogal","Boat owner and crew",32,5,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1997,"none because fish will feed on algae","unsure","acts as food for fish","waste or pollution","N"
"213",22,"Ogal","crew",45,18,18,"fishing quality and fish availability","Y","fluctuates","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2007,"poor water quality ","decrease in fish business or profit","interferes with movement","waste or pollution","N"
"214",23,"Ogal","crew",32,15,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2007,"poor water quality ","decrease in fish business or profit","avoidance of bloom by fish","waste or pollution","N"
"215",24,"Ogal","crew",29,15,24,"good fish business","Y","reduced","seasonal","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2003,"poor water quality ","decrease in fish business or profit","negatively impacts fish","sewer discharge; runoff","depends upon fishing gear"
"216",25,"Ogal","Boat owner and crew",35,20,30,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","reduced","",NA,"odor change","decrease in fish business or profit","avoidance of bloom by fish","industrial waste; runoff","N"
"217",26,"Ogal","crew",17,0.0833,24,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","increased","reduced","reduced","reduced","reduced","",NA,"odor change","increase in business","negatively impacts fish","water hyacinth","N"
"218",27,"Ogal","Boat owner and crew",28,8,26,"proximity","Y","reduced","reduced","reduced","water quality; illegal or unregulated fishing gear","","reduced","at times","reduced","seasonal","reduced","",2000,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","Y"
"219",28,"Ogal","crew",45,30,14,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",1989,"poor water quality ","decrease in fish business or profit","interferes with breeding zones","waste or pollution","Y"
"220",29,"Ogal","Boat owner and crew",43,10,31,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2011,"contaminates water; odor change","decrease in fish business or profit","suffocates fish","waste or pollution; industrial waste; water hyacinth","slim opportunity"
"221",30,"Ogal","Crew and nets",34,10,20,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2007,"poor water quality ","decrease in fish business or profit","avoidance of bloom by fish","natural causes","N"
"222",31,"Ogal","Boat renter and crew",43,30,31,"fishing quality and fish availability","Y","reduced","reduced","reduced","climate change","","reduced","at times","reduced","increased","increased","",1992,"odor change","unimpacted","no effect","waste or pollution","Y"
"223",32,"Ogal","crew",39,5,31,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","increased","increased","",2012,"contaminates water","decrease in fish business or profit","negatively impacts fish health","fertilizers; waste or pollution","N"
"224",33,"Ogal","Boat owner",25,8,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","increased","",2008,"poor water quality ","decrease in fish business or profit","reduces quantity","rain; waste or pollution","N"
"225",34,"Ogal","crew",31,12,9,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","increased","",2002,"contaminates water","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"226",35,"Ogal","Crew and nets",22,8,31,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","increased","",2008,"poor water quality ","decrease in fish business or profit","avoidance of bloom by fish","waste or pollution; change in temperature","Y"
"227",36,"Ogal","crew",29,4,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","increased","",2002,"odor change","decrease in fish business or profit","avoidance of bloom by fish","rain; temperature change","Y"
"228",37,"Ogal","crew",21,2,12,"fishing quality and fish availability","Y","reduced","reduced","no change","pollution","","reduced","increased","reduced","reduced","no change","",2014,"contaminates water","decrease in fish business or profit","negatively impacts fish","natural causes","N"
"229",38,"Ogal","Boat renter and crew",36,3,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","",NA,"odor change","decrease in fish business or profit","disappearance of fish","waste or pollution; rain; fertilizers","N"
"230",39,"Ogal","Boat renter and crew",44,18,31,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","variable","",2006,"color change","decrease in fish business or profit","reduces quantity","waste or pollution; water hyacinth","N"
"231",40,"Ogal","Nets ",76,50,14,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population; illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","reduced","",1996,"contaminates water","decrease in fish business or profit","reduces quantity","rain; temperature change","N"
"232",41,"Ogal","crew",28,0.6667,28,"proximity","Y","reduced","reduced","no change","climate change","","increased","no smell","reduced","reduced","increased","",2005,"poor water quality ","decrease in fish business or profit","negatively impacts fish","waste or pollution","uncertain"
"233",42,"Ogal","crew",42,20,26,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","increased","increased","",2006,"poor water quality ","increase in business","positively impacts fish","waste or pollution","Y"
"234",43,"Ogal","crew",20,NA,20,"fishing quality and fish availability","Y","increased","increased","increased","illegal or unregulated fishing gear","","increased","no smell","increased","reduced","increased","",2012,"none","increase in business","positively impacts fish","waste or pollution","N"
"235",44,"Ogal","crew",32,12,14,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","no change","increased","",2004,"poor water quality ","increase in business","positively impacts fish","water hyacinth; waste or pollution","Y"
